"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","2958.0","541365.792"
"CstoneAuditMessageBolt","82.0","86707.32599999999"
"VitalSignBolt","22060.0","345615.3410000001"
"DVMaxDataExtractorBolt","1047.0","277382.51"
"CornerstoneDataExtractorBolt","70181.0","929362.4269999996"
"PracticePetOwnerBolt","9478.0","172930.99699999994"
"PracticePatientBolt","12265.0","172715.81699999998"
"ExtractMessagePreProcessorBolt","71800.0","92945.331"
"EntityMapDiscriminatorBolt","595517.0","259141.3170000001"
"AvimarkDataExtractorBolt","574.0","277590.03700000007"
"FieldStandardizerBolt","2128231.0","345510.9760000001"
"PetOwnerPatientBolt","15484.0","345454.252"
"MedicalNoteFileProcessorBolt","880.0","523010.69899999996"
"ReminderTypeBolt","199.0","173362.83400000006"
"MedicalNoteBolt","616.0","167836.44200000004"
"VaccinationPimsBolt","6752.0","345608.63300000003"
"CornerstoneEncryptedFileProcessorBolt","870.0","1334019.666"
"ProductBolt","4337.0","86428.86000000003"
"PracticeExtractMessageBolt","32362.0","86379.64999999998"
"SoftwareDiscriminatorBolt","71820.0","92940.11799999994"
"PersistedMessageFilterBolt","2.338644273E9","2323865.280999901"
"HashWriterBolt","209986.0","259145.37100000004"
"MedicalNoteAttachmentBolt","692.0","170335.44200000004"
"PracticeLogoFileProcessorBolt","5053.0","92801.034"
"TransactionBolt","27061.0","2246310.228"
"StaffMemberBolt","140.0","85921.04400000002"
"DataLimitingBolt","5.155910935E9","2324030.984999927"
"ItemReminderTypeBolt","215.0","173820.712"
"MedicalReminderBolt","19802.0","345456.96300000005"
"AppointmentBolt","22917.0","345581.22799999994"
"PrescriptionBolt","19819.0","345622.66399999993"
"AmqpQueueWriterBolt","573778.0","2694803.5919999983"
"PracticeBolt","1141.0","86476.78199999999"
"LabResultHeaderBolt","14734.0","345747.599"
"FieldMapperBolt","2129034.0","259133.23900000003"
"PersistenceRoutingBolt","2128032.0","691041.4829999999"
"PracticePatientImageBolt","1263.0","86916.804"
