"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","2124.0","505407.04600000003"
"CstoneAuditMessageBolt","44.0","84873.028"
"VitalSignBolt","16961.0","345357.436"
"DVMaxDataExtractorBolt","1000.0","259718.60999999993"
"CornerstoneDataExtractorBolt","68278.0","864047.4870000001"
"PracticePetOwnerBolt","5544.0","172775.851"
"PracticePatientBolt","7058.0","172929.118"
"ExtractMessagePreProcessorBolt","69843.0","86403.943"
"EntityMapDiscriminatorBolt","395999.0","259229.04000000004"
"AvimarkDataExtractorBolt","560.0","258021.942"
"FieldStandardizerBolt","1365043.0","345679.2479999999"
"PetOwnerPatientBolt","12620.0","345545.30700000003"
"ReminderTypeBolt","56.0","145770.207"
"MedicalNoteFileProcessorBolt","500.0","505751.647"
"MedicalNoteBolt","471.0","179478.278"
"VaccinationPimsBolt","4858.0","345666.05999999994"
"CornerstoneEncryptedFileProcessorBolt","494.0","1264465.4810000004"
"ProductBolt","1969.0","86347.277"
"SoftwareDiscriminatorBolt","69838.0","86391.95899999997"
"PracticeExtractMessageBolt","32784.0","86412.829"
"HashWriterBolt","159737.0","259249.66500000004"
"PersistedMessageFilterBolt","2.288471923E9","2159756.1739999847"
"MedicalNoteAttachmentBolt","566.0","177100.27399999986"
"PracticeLogoFileProcessorBolt","4890.0","86417.372"
"TransactionBolt","17493.0","2242533.255"
"StaffMemberBolt","16.0","68766.309"
"DataLimitingBolt","5.043289003E9","2159834.239999971"
"ItemReminderTypeBolt","71.0","153177.79500000004"
"MedicalReminderBolt","15784.0","345216.44500000007"
"AppointmentBolt","16630.0","345670.51999999996"
"AmqpQueueWriterBolt","393523.0","2505365.8700000015"
"PrescriptionBolt","14175.0","345324.4159999999"
"PracticeBolt","675.0","86332.87000000004"
"LabResultHeaderBolt","12122.0","345581.73100000015"
"PersistenceRoutingBolt","1365062.0","691317.6140000001"
"FieldMapperBolt","1364930.0","259225.926"
"PracticePatientImageBolt","817.0","86621.55"
